epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9889,2.18634,11.2683,1.00908,0.00194,1,0.00458,0.00285,0.75654,4.39229,0.85701,0.00018,0.00018,0.00018
2,62.9291,1.67979,6.89544,1.018,0.00194,1,0.00758,0.0042,0.95035,4.43196,0.85938,0.0002546,0.0002546,0.0002546
3,91.279,1.26636,4.11411,0.90433,0.00197,1,0.00747,0.00468,0.78791,4.32242,0.83986,0.0001972,0.0001972,0.0001972
