epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1721,1.74408,10.1308,0.86347,0.00258,0.65625,0.00576,0.00309,1.08724,4.54123,0.89748,0.00046,0.00046,0.00046
2,106.748,1.33376,4.17592,0.9208,0.00287,0.75,0.00778,0.00415,1.00625,4.38762,0.86638,0.0004747,0.0004747,0.0004747
